Entity,Population
Congo,89561403
Malawi,19930763
North Korea,25778816
Nepal,29996478
Netherlands,17134873
New Caledonia,278000
Nicaragua,6624554
Niger,24206636
Nigeria,211400708
North America,579024000
Norway,5421241
Mozambique,32743660
Oceania,41642500
Pakistan,225199937
Panama,4314768
Papua New Guinea,9327609
Paraguay,7132530
Peru,33427960
Philippines,113134917
Myanmar,54704320
Morocco,36910558
Polynesia,446710
Mexico,129163276
Jamaica,2948279
Japan,126050804
Jordan,10203134
Kenya,54899873
Laos,7304345
Lebanon,6093509
Liberia,5259378
Low-income countries,773044543
Lower-middle-income countries,3800172926
Madagascar,28653682
Africa,1340598113
Malaysia,33354405
Maldives,547426
Mali,20937065
Mauritania,4789345
Mauritius,1271768
Melanesia,9920000
Poland,37887768
Romania,19237512
Israel,8891800
United States,331002651
Tonga,105695
Trinidad and Tobago,1399488
Tunisia,11818619
Turkey,84339067
Tuvalu,11792
Uganda,45741007
United Kingdom,67886011
Upper-middle-income countries,3142593216
Togo,8278737
Uruguay,3473727
Vanuatu,307145
Venezuela,28435943
Vietnam,97338579
World,7693165599
Yemen,29825964
Zambia,18383955
Tokelau,1411
Thailand,69799978
Saint Kitts and Nevis,53199
South America,430759772
Saint Vincent and the Grenadines,110947
Samoa,198414
Sao Tome and Principe,219161
Saudi Arabia,34813867
Senegal,16743927
Somalia,15893219
South Africa,59308690
South Korea,51269185
Tanzania,59734213
Spain,46754778
Sri Lanka,21413249
Suriname,586634
Sweden,10099265
Switzerland,8654622
Syria,17500658
Taiwan,23539818
Italy,60461826
Zimbabwe,14862924
French Polynesia,280904
Central African Republic,4829764
Bulgaria,6948445
Costa Rica,5094114
Burkina Faso,20903278
Burundi,11890781
France,65273511
Finland,5540720
Cambodia,16718965
European Union,448065095
Europe,747636026
Cameroon,26545864
Eswatini,1160164
Canada,37742154
Chad,16425864
Brazil,213993437
Chile,19116201
El Salvador,6486205
Egypt,104258327
Ecuador,17373657
Dominican Republic,10996504
China,1444216107
Denmark,5792202
Colombia,50882891
Comoros,869601
Iraq,40222493
Cyprus,1207359
Cuba,11326616
Gambia,2347706
Ivory Coast,26378274
Botswana,2351627
Australia,25499884
Iran,83992949
Indonesia,276361783
Albania,2877797
India,1393409038
Hungary,9660351
Angola,32866272
Honduras,9904607
High-income countries,1287788224
Bolivia,11673021
Haiti,11402528
Asia,4641054804
Argentina,45195777
Ghana,31072940
Guinea,13132792
Benin,12123198
Guatemala,17915568
Austria,9006398
Grenada,112523
Bangladesh,164689383
Greece,10423054
Guinea-Bissau,1968001
Germany,83149300
Kiribati,119446
Seychelles,98347
Rwanda,12952209
Afghanistan,38928346
Antigua and Barbuda,97928
Algeria,43851043
Malta,441543
Cook Islands,17564
Sierra Leone,7976983
Equatorial Guinea,1402985
Sudan (former),11818734
Portugal,10196707
Puerto Rico,2860853
Ireland,4937786
Reunion,895312
Fiji,889953
Saint Lucia,183629
Gabon,2172579
Dominica,71986
Libya,6871292
Namibia,2540905
Eritrea and Ethiopia,8361661
Czechoslovakia,15476000
Yugoslavia,23343314
Solomon Islands,689671
USSR,293047571
Timor,1318442
Ukraine,43733762
Belarus,9398861
Turkmenistan,6031200
Barbados,287025
Guyana,787521
Azerbaijan,10154978
Uzbekistan,34232050
Bosnia and Herzegovina,3301000
Lithuania,2722289
Latvia,1901548
Kyrgyzstan,6524195
Kazakhstan,18776707
Moldova,4033963
Croatia,4076246
North Macedonia,2083459
Russia,144192450
Slovenia,2078938
Tajikistan,9127000
Estonia,1328976
Ethiopia,118011735
Slovakia,5459642
Eritrea,3546421
Czechia,10693939
Palestine,5052776
Micronesia,105544
Georgia,3989167
Luxembourg,633638
Belgium,11589623
Guadeloupe,395725
Serbia,6901188
Montenegro,622781
Serbia and Montenegro,10349803
Belize,397628
Sudan,43849269
South Sudan,11193725
Nauru,10834
Mongolia,3321153
