,Entity,Population
0,Congo,89561403
1,Malawi,19930763
2,North Korea,25778816
3,Nepal,29996478
4,Netherlands,17134873
5,New Caledonia,278000
6,Nicaragua,6624554
7,Niger,24206636
8,Nigeria,211400708
9,North America,579024000
10,Norway,5421241
11,Mozambique,32743660
12,Oceania,41642500
13,Pakistan,225199937
14,Panama,4314768
15,Papua New Guinea,9327609
16,Paraguay,7132530
17,Peru,33427960
18,Philippines,113134917
19,Myanmar,54704320
20,Morocco,36910558
21,Polynesia,446710
22,Mexico,129163276
23,Jamaica,2948279
24,Japan,126050804
25,Jordan,10203134
26,Kenya,54899873
27,Laos,7304345
28,Lebanon,6093509
29,Liberia,5259378
30,Low-income countries,773044543
31,Lower-middle-income countries,3800172926
32,Madagascar,28653682
33,Africa,1340598113
34,Malaysia,33354405
35,Maldives,547426
36,Mali,20937065
37,Mauritania,4789345
38,Mauritius,1271768
39,Melanesia,9920000
40,Poland,37887768
41,Romania,19237512
42,Israel,8891800
43,United States,331002651
44,Tonga,105695
45,Trinidad and Tobago,1399488
46,Tunisia,11818619
47,Turkey,84339067
48,Tuvalu,11792
49,Uganda,45741007
50,United Kingdom,67886011
51,Upper-middle-income countries,3142593216
52,Togo,8278737
53,Uruguay,3473727
54,Vanuatu,307145
55,Venezuela,28435943
56,Vietnam,97338579
57,World,7693165599
58,Yemen,29825964
59,Zambia,18383955
60,Tokelau,1411
61,Thailand,69799978
62,Saint Kitts and Nevis,53199
63,South America,430759772
64,Saint Vincent and the Grenadines,110947
65,Samoa,198414
66,Sao Tome and Principe,219161
67,Saudi Arabia,34813867
68,Senegal,16743927
69,Somalia,15893219
70,South Africa,59308690
71,South Korea,51269185
72,Tanzania,59734213
73,Spain,46754778
74,Sri Lanka,21413249
75,Suriname,586634
76,Sweden,10099265
77,Switzerland,8654622
78,Syria,17500658
79,Taiwan,23539818
80,Italy,60461826
81,Zimbabwe,14862924
82,French Polynesia,280904
83,Central African Republic,4829764
84,Bulgaria,6948445
85,Costa Rica,5094114
86,Burkina Faso,20903278
87,Burundi,11890781
88,France,65273511
89,Finland,5540720
90,Cambodia,16718965
91,European Union,448065095
92,Europe,747636026
93,Cameroon,26545864
94,Eswatini,1160164
95,Canada,37742154
96,Chad,16425864
97,Brazil,213993437
98,Chile,19116201
99,El Salvador,6486205
100,Egypt,104258327
101,Ecuador,17373657
102,Dominican Republic,10996504
103,China,1444216107
104,Denmark,5792202
105,Colombia,50882891
106,Comoros,869601
107,Iraq,40222493
108,Cyprus,1207359
109,Cuba,11326616
110,Gambia,2347706
111,Ivory Coast,26378274
112,Botswana,2351627
113,Australia,25499884
114,Iran,83992949
115,Indonesia,276361783
116,Albania,2877797
117,India,1393409038
118,Hungary,9660351
119,Angola,32866272
120,Honduras,9904607
121,High-income countries,1287788224
122,Bolivia,11673021
123,Haiti,11402528
124,Asia,4641054804
125,Argentina,45195777
126,Ghana,31072940
127,Guinea,13132792
128,Benin,12123198
129,Guatemala,17915568
130,Austria,9006398
131,Grenada,112523
132,Bangladesh,164689383
133,Greece,10423054
134,Guinea-Bissau,1968001
135,Germany,83149300
136,Kiribati,119446
137,Seychelles,98347
138,Rwanda,12952209
139,Afghanistan,38928346
140,Antigua and Barbuda,97928
141,Algeria,43851043
142,Malta,441543
143,Cook Islands,17564
144,Sierra Leone,7976983
145,Equatorial Guinea,1402985
146,Sudan (former),11818734
147,Portugal,10196707
148,Puerto Rico,2860853
149,Ireland,4937786
150,Reunion,895312
151,Fiji,889953
152,Saint Lucia,183629
153,Gabon,2172579
154,Dominica,71986
155,Libya,6871292
156,Namibia,2540905
157,Eritrea and Ethiopia,8361661
158,Czechoslovakia,15476000
159,Yugoslavia,23343314
160,Solomon Islands,689671
161,USSR,293047571
162,Timor,1318442
163,Ukraine,43733762
164,Belarus,9398861
165,Turkmenistan,6031200
166,Barbados,287025
167,Guyana,787521
168,Azerbaijan,10154978
169,Uzbekistan,34232050
170,Bosnia and Herzegovina,3301000
171,Lithuania,2722289
172,Latvia,1901548
173,Kyrgyzstan,6524195
174,Kazakhstan,18776707
175,Moldova,4033963
176,Croatia,4076246
177,North Macedonia,2083459
178,Russia,144192450
179,Slovenia,2078938
180,Tajikistan,9127000
181,Estonia,1328976
182,Ethiopia,118011735
183,Slovakia,5459642
184,Eritrea,3546421
185,Czechia,10693939
186,Palestine,5052776
187,Micronesia,105544
188,Georgia,3989167
189,Luxembourg,633638
190,Belgium,11589623
191,Guadeloupe,395725
192,Serbia,6901188
193,Montenegro,622781
194,Serbia and Montenegro,10349803
195,Belize,397628
196,Sudan,43849269
197,South Sudan,11193725
198,Nauru,10834
199,Mongolia,3321153
