Entity,Code,Emissions_100g
Bananas,2,9.555555556
Beef meat,4,49.88966901
Beef milk,5,16.86930091
Berries & Grapes,7,15.3
Brassicas,8,4.636363636
Cassava,10,14.66666667
Cheese,11,10.81521739
Citrus Fruit,12,6.5
Coffee,13,35.6625
Dark Chocolate,14,93.3
Eggs,15,4.208723864
Fish (farmed),16,5.976759483
Grains,43,2.7
Groundnuts,17,1.233766234
Lamb meat,44,19.85007496
Maize,19,1.789473684
Nuts,20,0.263319045
Oatmeal,21,1.907692308
Onions & Leeks,23,3.846153846
Other Pulses,25,0.836057917
Peas,28,0.441044104
Pig Meat,29,7.60815822
Potatoes,30,2.705882353
Poultry Meat,31,5.698614319
Prawns (farmed),45,18.19228165
Rice,33,6.267605634
Root Vegetables,34,4.3
Tofu,39,1.975
Tomatoes,40,19.0
Wheat & Rye,41,1.286885246
