,Entity,Year,Area harvested
71,Argentina,1961-01-01,980.0
72,Argentina,1962-01-01,9649.0
73,Argentina,1963-01-01,19302.0
74,Argentina,1964-01-01,12220.0
75,Argentina,1965-01-01,16422.0
76,Argentina,1966-01-01,15689.0
77,Argentina,1967-01-01,17290.0
78,Argentina,1968-01-01,20200.0
79,Argentina,1969-01-01,28200.0
80,Argentina,1970-01-01,25970.0
81,Argentina,1971-01-01,36330.0
82,Argentina,1972-01-01,68000.0
83,Argentina,1973-01-01,157030.0
84,Argentina,1974-01-01,334440.0
85,Argentina,1975-01-01,355940.0
86,Argentina,1976-01-01,433500.0
87,Argentina,1977-01-01,660000.0
88,Argentina,1978-01-01,1150000.0
89,Argentina,1979-01-01,1600000.0
90,Argentina,1980-01-01,2030000.0
91,Argentina,1981-01-01,1880000.0
92,Argentina,1982-01-01,1985600.0
93,Argentina,1983-01-01,2280700.0
94,Argentina,1984-01-01,2910000.0
95,Argentina,1985-01-01,3269000.0
96,Argentina,1986-01-01,3316000.0
97,Argentina,1987-01-01,3532650.0
98,Argentina,1988-01-01,4373200.0
99,Argentina,1989-01-01,3931250.0
100,Argentina,1990-01-01,4961600.0
101,Argentina,1991-01-01,4774500.0
102,Argentina,1992-01-01,4935710.0
103,Argentina,1993-01-01,5116235.0
104,Argentina,1994-01-01,5748910.0
105,Argentina,1995-01-01,5934160.0
106,Argentina,1996-01-01,5913415.0
107,Argentina,1997-01-01,6393780.0
108,Argentina,1998-01-01,6954120.0
109,Argentina,1999-01-01,8180000.0
110,Argentina,2000-01-01,8637503.0
111,Argentina,2001-01-01,10400193.0
112,Argentina,2002-01-01,11405247.0
113,Argentina,2003-01-01,12419995.0
114,Argentina,2004-01-01,14304539.0
115,Argentina,2005-01-01,14032198.0
116,Argentina,2006-01-01,15130038.0
117,Argentina,2007-01-01,15981264.0
118,Argentina,2008-01-01,16387438.0
119,Argentina,2009-01-01,16771003.0
120,Argentina,2010-01-01,18130800.0
121,Argentina,2011-01-01,18764850.0
122,Argentina,2012-01-01,17577320.0
123,Argentina,2013-01-01,19418824.0
124,Argentina,2014-01-01,19252552.0
125,Argentina,2015-01-01,19352116.0
126,Argentina,2016-01-01,19504648.0
127,Argentina,2017-01-01,17335102.0
128,Argentina,2018-01-01,16318060.0
129,Argentina,2019-01-01,16575887.0
130,Argentina,2020-01-01,16721424.0
383,Brazil,1961-01-01,240919.0
384,Brazil,1962-01-01,313640.0
385,Brazil,1963-01-01,339796.0
386,Brazil,1964-01-01,359622.0
387,Brazil,1965-01-01,431834.0
388,Brazil,1966-01-01,490687.0
389,Brazil,1967-01-01,612115.0
390,Brazil,1968-01-01,721913.0
391,Brazil,1969-01-01,906073.0
392,Brazil,1970-01-01,1318809.0
393,Brazil,1971-01-01,1716420.0
394,Brazil,1972-01-01,2191455.0
395,Brazil,1973-01-01,3615058.0
396,Brazil,1974-01-01,5143367.0
397,Brazil,1975-01-01,5824492.0
398,Brazil,1976-01-01,6416368.0
399,Brazil,1977-01-01,7070263.0
400,Brazil,1978-01-01,7782187.0
401,Brazil,1979-01-01,8256096.0
402,Brazil,1980-01-01,8774023.0
403,Brazil,1981-01-01,8501169.0
404,Brazil,1982-01-01,8203277.0
405,Brazil,1983-01-01,8137112.0
406,Brazil,1984-01-01,9421202.0
407,Brazil,1985-01-01,10153405.0
408,Brazil,1986-01-01,9181587.0
409,Brazil,1987-01-01,9129795.0
410,Brazil,1988-01-01,10518370.0
411,Brazil,1989-01-01,12200560.0
412,Brazil,1990-01-01,11487300.0
413,Brazil,1991-01-01,9616650.0
414,Brazil,1992-01-01,9441390.0
415,Brazil,1993-01-01,10635330.0
416,Brazil,1994-01-01,11525410.0
417,Brazil,1995-01-01,11675005.0
418,Brazil,1996-01-01,10299470.0
419,Brazil,1997-01-01,11486478.0
420,Brazil,1998-01-01,13303656.0
421,Brazil,1999-01-01,13061410.0
422,Brazil,2000-01-01,13656771.0
423,Brazil,2001-01-01,13985099.0
424,Brazil,2002-01-01,16359441.0
425,Brazil,2003-01-01,18524768.0
426,Brazil,2004-01-01,21538990.0
427,Brazil,2005-01-01,22948874.0
428,Brazil,2006-01-01,22047348.0
429,Brazil,2007-01-01,20565280.0
430,Brazil,2008-01-01,21246302.0
431,Brazil,2009-01-01,21750468.0
432,Brazil,2010-01-01,23327296.0
433,Brazil,2011-01-01,23968664.0
434,Brazil,2012-01-01,24975258.0
435,Brazil,2013-01-01,27906676.0
436,Brazil,2014-01-01,30273764.0
437,Brazil,2015-01-01,32181244.0
438,Brazil,2016-01-01,33183120.0
439,Brazil,2017-01-01,33959880.0
440,Brazil,2018-01-01,34777936.0
441,Brazil,2019-01-01,35895208.0
442,Brazil,2020-01-01,37188168.0
765,China,1961-01-01,9947000.0
766,China,1962-01-01,9494500.0
767,China,1963-01-01,9623700.0
768,China,1964-01-01,9998650.0
769,China,1965-01-01,8584000.0
770,China,1966-01-01,8417000.0
771,China,1967-01-01,8494000.0
772,China,1968-01-01,8354000.0
773,China,1969-01-01,8320000.0
774,China,1970-01-01,7977000.0
775,China,1971-01-01,7784000.0
776,China,1972-01-01,7576000.0
777,China,1973-01-01,7400000.0
778,China,1974-01-01,7254000.0
779,China,1975-01-01,6992000.0
780,China,1976-01-01,6684000.0
781,China,1977-01-01,6838000.0
782,China,1978-01-01,7144000.0
783,China,1979-01-01,7239000.0
784,China,1980-01-01,7219000.0
785,China,1981-01-01,8015000.0
786,China,1982-01-01,8410000.0
787,China,1983-01-01,7559600.0
788,China,1984-01-01,7286000.0
789,China,1985-01-01,7718000.0
790,China,1986-01-01,8296000.0
791,China,1987-01-01,8444933.0
792,China,1988-01-01,8120000.0
793,China,1989-01-01,8057300.0
794,China,1990-01-01,7559600.0
